index,p_component_0,p_component_1,p_component_2
204,2.3358408070529126e-15,0.0,0.9999999999999964
205,1.0194048766376522e-51,1.0,0.0
206,2.5090733313198846e-26,0.0,1.0
207,1.7272321149073155e-39,1.0,0.0
208,0.9999997384678734,0.0,2.6153212642653315e-07
209,9.419005426112343e-36,0.0,1.0
210,3.155441593462088e-235,1.0,0.0
211,1.5837021670400685e-15,0.0,1.0
212,0.0,1.0,0.0
213,1.0,1.449704722393931e-101,0.0
214,2.2681645325636137e-20,1.0,0.0
215,1.3837518311717517e-24,1.0,0.0
216,5.945974593097429e-10,0.0,0.9999999994054036
217,1.4519706563300337e-16,0.0,1.0
218,6.379310903721658e-156,1.0,0.0
219,0.0,1.0,0.0
220,6.713714812479666e-17,0.0,1.0
221,1.4896309472236793e-12,0.0,0.9999999999985079
222,1.7627400043494052e-15,0.0,1.0
223,8.688569917432221e-19,1.0,0.0
224,6.570765403100577e-20,0.0,1.0
225,6.226679880301638e-14,0.0,0.999999999999936
226,1.1027739949773086e-19,0.0,1.0
227,1.574538315515851e-20,0.0,1.0
228,1.951542635004179e-11,0.0,0.9999999999804849
229,7.078264581334213e-10,0.9999999992921733,0.0
230,5.260403756405951e-56,1.0,0.0
231,3.286264565776832e-25,0.0,1.0
232,1.0619045304494337e-52,0.0,1.0
233,8.18382995236394e-244,1.0,0.0
234,4.463374605701384e-22,0.0,1.0
235,1.8833672605016865e-17,0.0,1.0
236,0.0,1.0,0.0
237,1.4420215435437468e-276,1.0,0.0
238,3.5572440764400137e-10,0.0,0.9999999996442757
