factor,rank,feature,weight,abs_weight,direction
Factor4,10,ADGRG1,0.6587537730081019,0.6587537730081019,positive
Factor4,11,GZMA,0.6478849341244255,0.6478849341244255,positive
Factor4,12,CLIC3,0.6464234350263018,0.6464234350263018,positive
Factor4,13,CCL4,0.6356274262681125,0.6356274262681125,positive
Factor4,14,TRDC,0.6300459051204067,0.6300459051204067,positive
Factor4,15,HOPX,0.6174892105407468,0.6174892105407468,positive
Factor4,16,GZMH,0.5923841230665967,0.5923841230665967,positive
Factor4,17,IL2RB,0.5920831377507215,0.5920831377507215,positive
Factor4,18,TTC38,0.5902763799860578,0.5902763799860578,positive
Factor4,19,TBX21,0.589737837332982,0.589737837332982,positive
Factor4,20,MYOM2,0.5858218284451672,0.5858218284451672,positive
Factor5,1,LILRA4,0.8064326186201215,0.8064326186201215,positive
Factor5,2,SERPINF1,0.7458539284770053,0.7458539284770053,positive
Factor5,3,CLEC4C,0.7423781563664329,0.7423781563664329,positive
Factor5,4,IL3RA,0.7295436518648097,0.7295436518648097,positive
Factor5,5,SCT,0.6996801470131806,0.6996801470131806,positive
Factor5,6,DNASE1L3,0.6463598592419223,0.6463598592419223,positive
Factor5,7,SMPD3,0.6439680849417768,0.6439680849417768,positive
Factor5,8,TPM2,0.6347248007121381,0.6347248007121381,positive
Factor5,9,LRRC26,0.6294241736574351,0.6294241736574351,positive
Factor5,10,LINC00996,0.606427228516373,0.606427228516373,positive
Factor5,11,PLD4,0.5981398564971107,0.5981398564971107,positive
Factor5,12,DERL3,0.586655969360695,0.586655969360695,positive
Factor5,13,RHEX,0.5830667537617633,0.5830667537617633,positive
Factor5,14,LAMP5,0.5656538986591945,0.5656538986591945,positive
Factor5,15,SCN9A,0.5608239343427975,0.5608239343427975,positive
Factor5,16,ITM2C,0.5348195334955596,0.5348195334955596,positive
Factor5,17,PACSIN1,0.525786154383978,0.525786154383978,positive
Factor5,18,UGCG,0.5222249505495272,0.5222249505495272,positive
Factor5,19,CYP46A1,0.49864996203916834,0.49864996203916834,positive
Factor5,20,JCHAIN,0.4983666022690335,0.4983666022690335,positive
Factor6,1,CDKN1C,0.8054280877444795,0.8054280877444795,positive
Factor6,2,HES4,0.7166663124370004,0.7166663124370004,positive
Factor6,3,FCGR3A,0.6953824521301357,0.6953824521301357,positive
Factor6,4,TCF7L2,0.6362760727093476,0.6362760727093476,positive
Factor6,5,CKB,0.5670858412090185,0.5670858412090185,positive
Factor6,6,RHOC,0.5313574944469878,0.5313574944469878,positive
Factor6,7,MTSS1,0.4886211650899699,0.4886211650899699,positive
Factor6,8,SMIM25,0.4811085240507957,0.4811085240507957,positive
Factor6,9,SIGLEC10,0.4660282099717592,0.4660282099717592,positive
Factor6,10,LINC02345,0.4652851862155006,0.4652851862155006,positive
Factor6,11,S100A12,-0.41619822732734824,0.41619822732734824,negative
Factor6,12,RRAS,0.41135026714139444,0.41135026714139444,positive
Factor6,13,MS4A7,0.399940929935721,0.399940929935721,positive
Factor6,14,IFITM3,0.3962967572851034,0.3962967572851034,positive
Factor6,15,CSF1R,0.3946447555363004,0.3946447555363004,positive
Factor6,16,LYPD2,0.37781007261181976,0.37781007261181976,positive
Factor6,17,HMOX1,0.36838530573523187,0.36838530573523187,positive
Factor6,18,VCAN,-0.36446143928568814,0.36446143928568814,negative
Factor6,19,CHST2,0.35942900396229044,0.35942900396229044,positive
Factor6,20,AC020656.1,-0.3479842670522267,0.3479842670522267,negative
Factor7,1,GZMK,0.6931473038374041,0.6931473038374041,positive
Factor7,2,SLC4A10,0.5286881271393125,0.5286881271393125,positive
Factor7,3,TRGC2,0.49363974807999683,0.49363974807999683,positive
Factor7,4,LYAR,0.4692292821961626,0.4692292821961626,positive
Factor7,5,KLRG1,0.4590627441248374,0.4590627441248374,positive
Factor7,6,CCL5,0.42725088700237673,0.42725088700237673,positive
Factor7,7,LTK,0.426610420765608,0.426610420765608,positive
Factor7,8,LINC01871,0.4150081767773186,0.4150081767773186,positive
Factor7,9,KLRB1,0.41112938624171025,0.41112938624171025,positive
Factor7,10,NCR3,0.3627485752724964,0.3627485752724964,positive
Factor7,11,MYOM2,-0.3381357098445704,0.3381357098445704,negative
Factor7,12,A2M-AS1,0.3363331021700819,0.3363331021700819,positive
Factor7,13,DUSP2,0.33328523809530086,0.33328523809530086,positive
Factor7,14,GPR171,0.33052319486401255,0.33052319486401255,positive
Factor7,15,IL32,0.32773638366391306,0.32773638366391306,positive
Factor7,16,PHACTR2,0.3255101662856783,0.3255101662856783,positive
Factor7,17,GZMA,0.32179502787631176,0.32179502787631176,positive
Factor7,18,CD8A,0.3170376250457171,0.3170376250457171,positive
Factor7,19,CXCR6,0.3154308129011444,0.3154308129011444,positive
Factor7,20,LAG3,0.3024120892837241,0.3024120892837241,positive
Factor8,1,LGALSL,0.30604130172110755,0.30604130172110755,positive
Factor8,2,HEMGN,0.3022281010476957,0.3022281010476957,positive
Factor8,3,PDGFA,0.29247919978593767,0.29247919978593767,positive
Factor8,4,SMOX,0.2819952754508584,0.2819952754508584,positive
Factor8,5,C2orf88,0.27821634324186134,0.27821634324186134,positive
Factor8,6,AQP10,0.2779217187806979,0.2779217187806979,positive
Factor8,7,TBXA2R,0.2756549984275188,0.2756549984275188,positive
Factor8,8,ITGA2B,-0.2740970070727696,0.2740970070727696,negative
Factor8,9,INKA1,0.2711332266280453,0.2711332266280453,positive
Factor8,10,MYL9,-0.26812861091153406,0.26812861091153406,negative
Factor8,11,CLU,-0.25601280567612544,0.25601280567612544,negative
Factor8,12,LGALS12,0.248544563194067,0.248544563194067,positive
Factor8,13,LCN2,0.2449673306879439,0.2449673306879439,positive
Factor8,14,LMNA,0.24421993695002558,0.24421993695002558,positive
Factor8,15,GATA1,0.23960315283661734,0.23960315283661734,positive
Factor8,16,TMEM40,0.2368783469744321,0.2368783469744321,positive
