0,1,2
2.8152109748558105e-15,0.0,0.9999999999999964
1.5566486142983674e-26,1.0,0.0
1.7900718767873728e-16,0.0,1.0
1.5382058364859578e-21,0.0,1.0
1.707619262608881e-14,0.0,0.9999999999999822
7.925658676115338e-23,0.0,1.0
1.0763971610690179e-16,0.0,1.0
1.3355172704799579e-44,1.0,0.0
9.773030177195546e-17,0.0,1.0
3.0526854109998842e-87,0.0,1.0
3.3389510572343434e-117,1.0,0.0
7.778869877947424e-28,0.0,1.0
3.627329729703102e-45,1.0,0.0
8.872974708099634e-19,0.0,1.0
5.179238872189402e-11,0.0,0.9999999999482085
0.0,1.0,0.0
0.00029598296769294815,0.0,0.9997040170323063
5.885139380432717e-156,1.0,0.0
5.7430710497241524e-24,0.0,1.0
7.846540251591681e-20,0.0,1.0
4.419733234729781e-14,0.0,0.9999999999999574
1.303374794933835e-24,0.0,1.0
4.8664984007750895e-55,0.0,1.0
1.9539317185263027e-16,0.0,1.0
1.773724921973441e-22,0.0,1.0
2.1986510602461875e-30,0.0,1.0
9.034675321974812e-82,1.0,0.0
0.0,1.0,0.0
1.0613497224815848e-19,0.0,1.0
3.121239246222903e-20,0.0,1.0
8.14015159284958e-14,0.0,0.9999999999999183
1.0,0.0,2.0592970678491454e-28
3.159586181260071e-10,0.0,0.9999999996840412
1.952335911888171e-20,0.0,1.0
2.0563170233212035e-55,1.0,0.0
1.6419855326590706e-20,0.0,1.0
2.8003668447170633e-19,0.0,1.0
1.3112428134270842e-85,0.0,1.0
4.62129654836374e-21,0.0,1.0
5.001036534958975e-130,0.0,1.0
3.4768201573255727e-12,0.0,0.9999999999965237
7.139774784452593e-14,0.0,0.999999999999929
5.937387962031911e-19,0.0,1.0
9.180938687043338e-20,0.0,1.0
1.8341649770362764e-14,0.0,0.9999999999999822
5.067576576792994e-17,1.0,0.0
2.4124598163442853e-19,0.0,1.0
3.0043606292732547e-21,0.0,1.0
8.136367328652231e-13,0.0,0.9999999999991864
1.9624632970522041e-13,0.0,0.9999999999998046
1.1826448584262812e-26,0.0,1.0
1.0,0.0,1.6744087078506495e-36
1.9695246805167948e-19,0.0,1.0
6.632350555833252e-185,1.0,0.0
5.448364261530962e-19,0.0,1.0
1.3863325810924072e-97,1.0,0.0
9.608320320510333e-17,0.0,1.0
2.848921520868594e-132,0.0,1.0
3.4155469890485084e-38,1.0,0.0
4.658382720491842e-18,0.0,1.0
4.0239151533233466e-15,0.0,0.9999999999999964
8.008158552719008e-20,0.0,1.0
2.2617182030581252e-11,0.0,0.9999999999773834
3.6242205337483264e-12,0.0,0.9999999999963762
3.3034067021009838e-108,1.0,0.0
1.491854069912517e-262,1.0,0.0
2.850299198762434e-15,0.0,0.9999999999999964
1.7276473459677925e-19,1.0,0.0
2.499093285256114e-21,0.0,1.0
0.0,1.0,0.0
1.0,0.0,3.034510785566787e-26
1.0,0.0,2.1367279478418843e-25
5.329017768576627e-33,0.0,1.0
1.4450828993269916e-11,0.0,0.9999999999855493
1.3663784608809831e-45,0.0,1.0
3.0574162483267945e-17,1.0,0.0
9.994702500230039e-14,0.0,0.9999999999999005
2.995033949164078e-23,0.0,1.0
